ds,Close,High,Low,Open,Adj Close,Volume
13-11-2012,77.557144,78.639999,76.622856,76.987144,67.920616,133237300
14-11-2012,76.697144,78.207146,76.597145,77.928574,67.167473,119292600
15-11-2012,75.08857,77.071426,74.660004,76.790001,65.758789,197477700
16-11-2012,75.382858,75.714287,72.25,75.028572,66.016472,316723400
19-11-2012,80.818573,81.071426,77.125717,77.244286,70.776817,205829400
20-11-2012,80.129997,81.707146,79.225716,81.701431,70.173798,160688500
21-11-2012,80.242859,81.052856,79.514282,80.60714,70.272636,93250500
23-11-2012,81.64286,81.714287,80.371429,81.024284,71.498688,68206600
26-11-2012,84.218575,84.285713,81.958572,82.271431,73.754372,157644900
27-11-2012,83.540001,84.345711,82.871429,84.221428,73.16011,133332500
28-11-2012,83.277145,83.685715,81.751427,82.46714,72.929924,130216100
29-11-2012,84.194283,84.89286,83.60714,84.317146,73.733093,128674700
30-11-2012,83.611427,84.057144,83.239998,83.827141,73.222649,97829900
03-12-2012,83.741432,84.941429,83.64286,84.807144,73.33651,91070000
04-12-2012,82.264282,83.114288,81.732857,83.114288,72.042892,139267100
05-12-2012,76.970001,81.321426,76.96714,81.272858,67.406425,261159500
06-12-2012,78.177139,79.044289,74.089996,75.562859,68.463593,294303100
07-12-2012,76.178574,79.314285,75.714287,79.057144,66.713348,196760200
10-12-2012,75.688568,76.93,74.511429,75,66.284225,157621100
11-12-2012,77.341431,78.508568,76.767143,77.110001,67.731697,148086400
12-12-2012,77,78.285713,76.610001,78.252853,67.432701,121786000
13-12-2012,75.669998,76.805717,75.114288,75.878571,66.267952,156314900
14-12-2012,72.827141,74.01857,72.225716,73.535713,63.778297,252394800
17-12-2012,74.118568,74.285713,71.604286,72.704285,64.909309,189401800
18-12-2012,76.271431,76.414284,74.321426,75,66.794655,156421300
19-12-2012,75.187141,76.242859,75.071426,75.924286,65.8451,112342300
20-12-2012,74.53286,75.742859,74.125717,75.714287,65.27211,120422400
21-12-2012,74.190002,74.238571,72.891426,73.209999,64.971863,149067100
24-12-2012,74.309998,74.89286,74.101425,74.335716,65.07695,43938300
26-12-2012,73.285713,74.208572,73.017143,74.14286,64.179939,75609100
27-12-2012,73.580002,73.75,72.094284,73.362854,64.437637,113780100
28-12-2012,72.798569,73.497147,72.58857,72.898575,63.7533,88569600
31-12-2012,76.024284,76.485718,72.714287,72.932854,66.578217,164873100
02-01-2013,78.432854,79.285713,77.375717,79.117142,68.687538,140129500
03-01-2013,77.442856,78.524284,77.285713,78.26857,67.820526,88241300
04-01-2013,75.285713,76.947144,75.118568,76.709999,65.931404,148583400
07-01-2013,74.842857,75.614288,73.599998,74.571426,65.543602,121039100
08-01-2013,75.044289,75.984283,74.464287,75.601425,65.719994,114676800
09-01-2013,73.871429,75.001427,73.71286,74.64286,64.692863,101901100
10-01-2013,74.78714,75.531425,73.645714,75.507141,65.494797,150286500
11-01-2013,74.328575,75.045715,74.145714,74.428574,65.093193,87626700
14-01-2013,71.678574,72.5,71.215714,71.811432,62.772461,183551900
15-01-2013,69.417145,71.284286,69.054283,71.185715,60.792019,219193100
16-01-2013,72.298569,72.777145,70.35714,70.662857,63.315441,172701200
17-01-2013,71.811432,72.964287,71.718575,72.901428,62.888813,113419600
18-01-2013,71.428574,71.745712,70.914284,71.21714,62.553524,118230700
22-01-2013,72.110001,72.554283,70.947144,72.080002,63.150299,115386600
23-01-2013,73.43,73.57,72.110001,72.687141,64.306274,215377400
24-01-2013,64.35714,66.53286,64.321426,65.714287,56.360722,365213100
25-01-2013,62.84,65.175713,62.142857,64.527145,55.032093,302006600
28-01-2013,64.261429,64.744286,62.265713,62.547142,56.276905,196379400
29-01-2013,65.46714,65.742859,64.58857,65.5,57.332817,142789500
30-01-2013,65.261429,66.085716,64.928574,65.285713,57.152664,104288800
31-01-2013,65.07,65.611427,64.997147,65.28286,56.985012,79833600
01-02-2013,64.802856,65.639999,64.050003,65.587143,56.751068,134871100
04-02-2013,63.188572,65.134285,63.142857,64.844284,55.337345,119279300
05-02-2013,65.405716,65.677139,63.174286,63.435715,57.279018,143336900
06-02-2013,65.335716,66.64286,64.654289,65.209999,57.217709,148426600
07-02-2013,66.888573,67.14286,64.874283,66.178574,58.919029,176145200
08-02-2013,67.854286,68.401428,66.89286,67.714287,59.769661,158289600
11-02-2013,68.561432,69.277145,67.60714,68.071426,60.392555,129372600
12-02-2013,66.842857,68.91143,66.82,68.501427,58.878742,152263300
13-02-2013,66.715714,67.662857,66.174286,66.744286,58.766758,118801900
14-02-2013,66.655716,67.377144,66.288574,66.360001,58.713898,88818800
15-02-2013,65.737144,67.165718,65.702858,66.978569,57.904778,97936300
19-02-2013,65.71286,66.104286,64.835716,65.871429,57.883381,108945900
20-02-2013,64.121429,65.384285,64.114288,65.384285,56.481571,119075600
21-02-2013,63.722858,64.167145,63.259998,63.714287,56.130493,111795600
22-02-2013,64.401428,64.514282,63.799999,64.178574,56.72821,82663700
25-02-2013,63.257141,65.017143,63.224285,64.835716,55.720264,93144800
26-02-2013,64.138573,64.505714,62.522858,63.402859,56.49667,125374900
27-02-2013,63.509998,64.634285,62.950001,64.061432,55.942997,146837600
28-02-2013,63.057144,63.98143,63.057144,63.435715,55.54409,80628800
01-03-2013,61.495716,62.597141,61.425713,62.57143,54.168705,138112100
04-03-2013,60.007141,61.171429,59.857143,61.114285,52.857475,145688900
05-03-2013,61.591427,62.169998,60.107143,60.21143,54.253006,159608400
06-03-2013,60.808571,62.17857,60.632858,62.072857,53.563435,115062500
07-03-2013,61.511429,61.715714,60.151428,60.642857,54.182541,117118400
08-03-2013,61.674286,62.204285,61.23,61.400002,54.326008,97870500
11-03-2013,62.552856,62.715714,60.734287,61.392857,55.099892,118559000
12-03-2013,61.204285,62.697144,61.081429,62.228573,53.911999,116477900
13-03-2013,61.192856,62.07143,60.765713,61.207142,53.90192,101387300
14-03-2013,61.785713,62.091427,61.492859,61.832859,54.424156,75968900
15-03-2013,63.380001,63.46143,62.464287,62.561428,55.82848,160990200
18-03-2013,65.102859,65.351425,63.028572,63.064285,57.346073,151549300
19-03-2013,64.927139,65.852859,64.071426,65.64286,57.191277,131693800
20-03-2013,64.582855,65.375717,64.227142,65.345711,56.888012,77165200
